,cnpj,Faturamento,Funcionarios,TotalProtesto,ValorProtesto,BUSCA
516,93.225.571/0001-05,de 1.500.000 até 4.800.000,de 10 até 50,111,"133.381,26",FIBROARTE IND E COM PCAS P CAMINHOES
517,88.978.606/0001-47,de 10.000.000 até 30.000.000,de 50 até 100,-,,Agro Industrial Lazzeri
518,05.758.376/0001-83,de 1.500.000 até 4.800.000,de 10 até 50,-,,INDUSTRIA E COMERCIO MC TEXTIL LTDA EPP
519,03.745.549/0001-01,de 81.000 até 360.000,de 0 até 5,-,,KIND MOVEIS
520,91.271.718/0001-78,de 10.000.000 até 30.000.000,acima de 500,131,"2.856.538,76",MARSUL INDUSTRIA E COMERCIO DE PROTEINAS EIRELI
521,11.387.204/0001-43,de 4.800.000 até 10.000.000,de 50 até 100,0,-,SS USINAGEM LTDA
522,87.829.495/0001-44,de 30.000.000 até 100.000.000,de 100 até 500,495,"10.103.320,07",SIMETALL INDUSTRIA E COMERCIO DE FERRAMENTAS LTDA
523,03.021.164/0001-93,de 360.000 até 1.500.000,de 10 até 50,108,"1.133.239,29",DINGMETAL METALIZACAO EM PLASTICOS 217429
524,02.441.272/0001-52,de 10.000.000 até 30.000.000,de 50 até 100,65,"9.547.107,55",02441272000152
525,11.776.428/0001-47,de 1.500.000 até 4.800.000,de 100 até 500,17,"1.983.106,96",LG INOVATIVE PLASTICOS EIRELI
526,89.458.160/0001-92,de 1.500.000 até 4.800.000,de 10 até 50,0,-,DAL PRA INDUSTRIA E COMERCIO DE MOVEIS LTDA
527,21.090.644/0001-98,de 360.000 até 1.500.000,de 10 até 50,-,,WICTORY IND DE EQUIPAMENTOS PA
528,01.512.586/0001-36,de 10.000.000 até 30.000.000,de 100 até 500,0,-,EGISA TECNOLOGIA INDUSTRIAL LTDA
529,08.076.972/0001-71,de 1.500.000 até 4.800.000,de 10 até 50,106,"317.585,13",G VETEC HP GUINDASTES EIRELI
530,27.425.581/0001-60,de 360.000 até 1.500.000,de 5 até 10,-,,SUPER 5 COMERCIO E DISTRIBUIDORA LTDA
531,01.688.276/0001-77,de 4.800.000 até 10.000.000,de 100 até 500,0,-,NOVOPE CALCADOS LTDA
532,94.132.826/0001-58,de 1.500.000 até 4.800.000,de 100 até 500,3,"1.340.532,25",INDUSTRIA TEXTIL TRES MARIAS LTDA
533,06.297.786/0001-37,de 1.500.000 até 4.800.000,de 10 até 50,16,"227.667,21",FLANTECH METALURGICA LTDA
534,00.593.132/0001-74,de 360.000 até 1.500.000,de 0 até 5,-,,INDUSTRIA DE EMBALAGENS PLASTICAS FADA LTDA
535,93.625.523/0001-04,de 4.800.000 até 10.000.000,de 100 até 500,388,"1.047.240,40",GELUS INDUSTRIA E COMERCIO EIRELI
536,02.278.437/0001-17,de 10.000.000 até 30.000.000,de 100 até 500,2,"9.601,03",02278437000117
537,09.554.395/0001-49,de 81.000 até 360.000,de 0 até 5,-,,PA Textil
538,27.421.197/0001-99,de 0 até 81.000,de 10 até 50,-,,Proeza Textil
539,05.675.956/0001-07,de 81.000 até 360.000,de 0 até 5,-,,Nega Rio Confecções
540,80.469.166/0001-90,de 30.000.000 até 100.000.000,de 100 até 500,15,"123.410,69",80469166000190
541,10.938.117/0001-74,de 81.000 até 360.000,de 10 até 50,47,"2.805.240,25",10938117000174
542,11.892.859/0001-79,de 10.000.000 até 30.000.000,de 100 até 500,202,"1.345.659,87",11892859000179
543,62.686.548/0001-94,de 81.000 até 360.000,de 0 até 5,0,-,Açopeças
544,06.082.519/0001-42,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Akmey
545,02.414.127/0001-82,de 10.000.000 até 30.000.000,de 50 até 100,809,"17.766.940,30",02414127000182
546,01.348.522/0001-41,de 81.000 até 360.000,de 0 até 5,-,,Big Star
547,81.604.803/0001-57,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Blukit
548,02.712.877/0001-30,de 0 até 81.000,de 5 até 10,-,,Cortinas Ype
549,37.439.938/0001-12,de 81.000 até 360.000,,-,,Dekinha Baby
550,17.701.407/0001-49,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Eleva Textil
551,04.571.140/0001-70,de 0 até 81.000,de 0 até 5,-,,Elo Malhas
552,05.412.148/0001-57,de 1.500.000 até 4.800.000,de 50 até 100,45,"1.084.441,11",Ferrara Produtos
553,10.981.598/0001-09,de 10.000.000 até 30.000.000,de 50 até 100,1,"5.292,34",10981598000109
554,85.221.083/0001-00,de 81.000 até 360.000,de 10 até 50,0,-,Giovana Pash
555,12.058.523/0001-78,de 1.500.000 até 4.800.000,de 10 até 50,13,"1.158.597,62",12058523000178
556,12.358.505/0001-01,de 1.500.000 até 4.800.000,de 10 até 50,-,,Inpol
557,02.188.584/0001-04,de 0 até 81.000,de 10 até 50,-,,Jojo confecções
558,14.727.390/0001-00,de 4.800.000 até 10.000.000,de 50 até 100,-,,Marazul tecnoplastia
559,77.892.289/0001-25,de 10.000.000 até 30.000.000,de 100 até 500,190,"1.828.117,44",Neki Confecções
560,75.375.709/0001-70,de 0 até 81.000,de 10 até 50,-,,Provesi
561,08.761.945/0001-38,de 4.800.000 até 10.000.000,de 50 até 100,328,"2.345.309,80",Raçoes Catarinense
562,92.035.542/0001-18,de 0 até 81.000,de 0 até 5,-,,RC Conti
563,50.471.077/0001-18,de 0 até 81.000,de 0 até 5,-,,Tecelagem catarinense
564,12.724.478/0001-43,de 81.000 até 360.000,de 10 até 50,-,,Tecnob
565,10.423.004/0001-36,de 1.500.000 até 4.800.000,de 10 até 50,41,"249.877,03",Vivant Malhas
566,76.794.478/0001-00,de 81.000 até 360.000,de 0 até 5,-,,Volani
567,05.205.374/0001-67,de 81.000 até 360.000,de 0 até 5,0,-,BC Malhas
568,95.801.692/0001-83,de 1.500.000 até 4.800.000,de 10 até 50,216,"511.052,68",95801692000183
569,95.858.452/0001-15,de 1.500.000 até 4.800.000,de 10 até 50,11,"1.410.053,30",95858452000115
570,56.328.610/0001-73,de 0 até 81.000,de 10 até 50,-,,Lulli Malhas
571,04.069.595/0001-92,de 4.800.000 até 10.000.000,de 50 até 100,230,"9.008.691,63",04069595000192
572,32.507.626/0001-85,de 81.000 até 360.000,de 0 até 5,-,,Meias Loa
573,72.344.591/0001-25,de 100.000.000 até 300.000.000,de 100 até 500,0,-,72344591000125
574,00.890.317/0001-40,de 0 até 81.000,de 10 até 50,-,,A J Beneficiamento
575,80.109.663/0001-88,de 1.500.000 até 4.800.000,de 5 até 10,-,,renauxview
576,03.061.381/0001-07,de 0 até 81.000,de 0 até 5,-,,toalhas atlantica
577,04.029.735/0001-07,de 0 até 81.000,de 10 até 50,-,,Andrimalhas
578,04.223.424/0001-76,de 1.500.000 até 4.800.000,de 100 até 500,46,"639.431,80",Company Embalagens
579,19.052.573/0001-97,de 4.800.000 até 10.000.000,de 100 até 500,2,"10.107,92",Calçados Itambe
580,18.646.265/0001-27,de 0 até 81.000,de 0 até 5,-,,Menina Rio
581,02.734.524/0001-31,de 0 até 81.000,de 100 até 500,3,"198.918,66",ricaplast
582,81.671.190/0001-70,de 81.000 até 360.000,de 0 até 5,-,,NOVA MOTORES
583,02.335.262/0001-32,de 10.000.000 até 30.000.000,de 50 até 100,11,"7.494.484,71",fundiçao santa terezinha
584,11.012.602/0001-85,de 1.500.000 até 4.800.000,de 100 até 500,17,"22.421,14",Hotel Mansiones
585,04.832.843/0001-05,de 0 até 81.000,de 0 até 5,-,,n tubos e krunn
586,05.810.004/0001-59,de 10.000.000 até 30.000.000,de 100 até 500,0,-,huvispan
587,09.034.003/0001-10,de 81.000 até 360.000,de 0 até 5,-,,real malhas
588,05.771.978/0001-70,de 0 até 81.000,de 10 até 50,-,,NAXOS
589,14.228.061/0001-15,de 1.500.000 até 4.800.000,de 10 até 50,-,,Stock Mania
590,85.262.988/0001-10,de 360.000 até 1.500.000,de 0 até 5,-,,Panimport
591,11.247.227/0001-52,de 0 até 81.000,de 0 até 5,-,,miss peck
592,03.917.924/0001-45,de 0 até 81.000,de 0 até 5,-,,vitalite
593,18.541.722/0001-19,de 81.000 até 360.000,de 0 até 5,-,,Planet Blu  Dalcy
594,05.711.111/0001-20,de 0 até 81.000,de 0 até 5,-,,Pescaria Pioneira
595,94.947.462/0001-64,de 81.000 até 360.000,de 0 até 5,-,,ARTEFIBRA
596,26.524.667/0001-87,de 81.000 até 360.000,de 0 até 5,-,,PACKMASTER
597,20.308.036/0001-44,de 30.000.000 até 100.000.000,de 50 até 100,94,"4.701.447,74",20308036000144
598,01.244.051/0001-21,de 0 até 81.000,de 10 até 50,-,,Arber parafusos
599,11.186.161/0001-38,de 0 até 81.000,de 10 até 50,25,"1.941.392,22",BRAZIL DREAM
600,23.436.119/0001-07,de 81.000 até 360.000,de 0 até 5,-,,kowalsky
601,06.090.756/0001-55,de 0 até 81.000,de 10 até 50,-,,Transoceano
602,21.475.522/0001-10,de 0 até 81.000,de 10 até 50,-,,Summer Girl
603,37.439.938/0001-12,de 81.000 até 360.000,,-,,Dekinha Baby
604,10.330.280/0001-50,de 0 até 81.000,de 10 até 50,-,,Frigomar
605,01.490.289/0001-37,de 360.000 até 1.500.000,de 0 até 5,-,,Gradual
606,08.841.206/0001-56,de 81.000 até 360.000,de 0 até 5,-,,MIXUS
607,83.441.428/0001-05,de 10.000.000 até 30.000.000,de 50 até 100,0,-,CARROCERIA ARGI
608,07.768.460/0001-03,de 81.000 até 360.000,de 0 até 5,-,,CSM
609,10.481.043/0001-90,de 1.500.000 até 4.800.000,de 10 até 50,0,-,KENDY BRINQUEDOS
610,08.206.730/0001-55,de 0 até 81.000,de 0 até 5,-,,BLU TEXTIL
611,21.925.982/0001-00,de 360.000 até 1.500.000,de 0 até 5,-,,DGS Etiquetas
612,18.543.466/0001-07,de 81.000 até 360.000,de 0 até 5,-,,New Vision
613,80.691.991/0001-35,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Juanna textil
614,11.394.091/0001-03,de 81.000 até 360.000,de 0 até 5,-,,soletex
615,00.058.641/0001-05,de 4.800.000 até 10.000.000,de 100 até 500,0,-,MEI INDUSTRIAL
616,84.430.792/0001-24,de 0 até 81.000,de 0 até 5,-,,MARCATTO
617,81.632.648/0001-82,de 100.000.000 até 300.000.000,de 100 até 500,0,-,TRITEC
618,05.258.300/0001-99,de 10.000.000 até 30.000.000,de 50 até 100,131,"5.240.674,86",COLORLINE
619,17.840.519/0001-80,de 4.800.000 até 10.000.000,de 50 até 100,0,-,SEEDER
620,01.480.435/0001-43,de 0 até 81.000,de 10 até 50,-,,TAF
621,80.414.378/0001-70,de 30.000.000 até 100.000.000,de 100 até 500,0,-,HJ HERING
622,21.476.263/0001-41,de 81.000 até 360.000,de 5 até 10,0,-,TOP FUSION
623,04.196.193/0001-59,de 1.500.000 até 4.800.000,de 10 até 50,39,"528.466,37",04196193000159
624,01.837.867/0001-69,de 81.000 até 360.000,de 0 até 5,-,,objeto brasil
625,60.395.027/0001-52,de 0 até 81.000,de 10 até 50,-,,Votex
626,02.288.072/0001-01,de 1.500.000 até 4.800.000,de 10 até 50,-,,Polidrol Quimica
627,83.495.770/0001-80,de 0 até 81.000,de 10 até 50,-,,Alumetaf
628,42.497.628/0001-94,de 81.000 até 360.000,de 0 até 5,-,,J Lobatto metalurgica
629,05.712.972/0001-22,de 0 até 81.000,de 0 até 5,-,,mutual textil negócio
630,05.908.583/0001-77,de 10.000.000 até 30.000.000,de 50 até 100,167,"731.993,43",05908583000177
631,78.883.949/0001-74,de 0 até 81.000,de 0 até 5,-,,Menegotti metalurgica negócio
632,04.207.234/0001-65,de 0 até 81.000,de 0 até 5,-,,Latina Confecções Minore
633,04.289.111/0001-10,de 0 até 81.000,de 0 até 5,-,,MDV PORTAS
634,12.405.152/0001-53,de 81.000 até 360.000,de 0 até 5,-,,ALQUIMIA LAVANDERIA
635,06.284.589/0001-83,de 0 até 81.000,de 0 até 5,-,,yellow  and blue
636,07.153.486/0001-47,de 0 até 81.000,de 10 até 50,-,,tecelagem Morgana
637,08.702.679/0001-72,de 81.000 até 360.000,de 0 até 5,-,,Negócio Joka linhas
638,17.095.462/0001-32,de 81.000 até 360.000,de 0 até 5,-,,Negócio BZM
639,24.821.560/0001-75,de 360.000 até 1.500.000,de 10 até 50,-,,Sailor
640,07.634.443/0001-83,de 0 até 81.000,de 0 até 5,-,,Negócio HSK BENEFICIAMENTO TEXTIL
641,74.170.812/0001-11,de 30.000.000 até 100.000.000,de 100 até 500,45,"557.518,05",74170812000111
642,04.344.406/0001-42,de 1.500.000 até 4.800.000,de 10 até 50,174,"512.082,06",04344406000142
643,04.861.226/0001-38,de 1.500.000 até 4.800.000,de 100 até 500,73,"1.815.406,94",04861226000138
644,04.108.375/0001-20,de 10.000.000 até 30.000.000,de 50 até 100,0,-,04108375000120
645,13.373.017/0001-36,de 0 até 81.000,de 100 até 500,0,-,13373017000136
646,05.817.169/0001-52,de 10.000.000 até 30.000.000,de 100 até 500,0,-,05817169000152
647,07.911.773/0001-79,de 10.000.000 até 30.000.000,de 50 até 100,0,-,07911773000179
648,01.152.664/0001-39,de 1.500.000 até 4.800.000,de 100 até 500,104,"1.580.608,38",01152664000139
649,06.938.426/0001-77,de 0 até 81.000,de 100 até 500,45,"91.524,54",06938426000177
650,04.132.303/0001-19,de 81.000 até 360.000,de 0 até 5,-,,TOMBINI COM DE MOVEIS
651,03.634.314/0001-34,de 81.000 até 360.000,de 0 até 5,-,,VISION COMUNICAÇÃO
652,07.635.050/0001-94,de 0 até 81.000,de 0 até 5,-,,AESA
653,75.394.502/0002-24,de 30.000.000 até 100.000.000,de 50 até 100,0,-,75394502000224
654,22.029.488/0001-12,de 4.800.000 até 10.000.000,de 100 até 500,548,"650.364,64",22029488000112
655,76.329.762/0003-60,de 30.000.000 até 100.000.000,de 50 até 100,72,"522.731,26",76329762000360
656,78.186.228/0001-05,de 30.000.000 até 100.000.000,de 100 até 500,-,,BALFAR SOLAR
657,07.632.513/0001-64,de 0 até 81.000,de 10 até 50,-,,SAMIA ALUMINIOS
658,01.301.000/0001-94,de 81.000 até 360.000,de 0 até 5,-,,IND E COM DE FARINHA DE CARNE LTDA
659,11.379.466/0001-66,de 4.800.000 até 10.000.000,de 50 até 100,156,"978.204,12",11379466000166
660,00.367.910/0001-07,de 360.000 até 1.500.000,de 10 até 50,-,,TAMARANA METAIS LTDA
661,05.488.486/0001-72,de 100.000.000 até 300.000.000,de 100 até 500,13,"1.119.692,05",05488486000172
662,13.056.177/0003-13,de 100.000.000 até 300.000.000,de 100 até 500,26,"4.258.787,83",13056177000313
663,24.427.864/0001-52,de 360.000 até 1.500.000,de 5 até 10,-,,24427864000152
664,80.319.064/0001-99,de 10.000.000 até 30.000.000,de 100 até 500,1,"81.769,52",80319064000199
665,05.258.083/0001-37,de 0 até 81.000,,-,,VILELA  VILELA
666,40.495.194/0001-68,de 81.000 até 360.000,de 0 até 5,-,,PESCADOS ARAPONGAS
667,79.120.739/0001-97,de 30.000.000 até 100.000.000,de 50 até 100,50,"907.675,91",79120739000197
668,46.108.106/0001-04,de 0 até 81.000,de 0 até 5,-,,GRAFICA REGENTE
669,06.947.872/0001-48,de 360.000 até 1.500.000,de 10 até 50,0,-,06947872000148
670,10.781.498/0001-20,de 0 até 81.000,de 50 até 100,188,"1.324.194,17",10781498000120
671,06.935.165/0001-31,de 1.500.000 até 4.800.000,de 50 até 100,-,,06935165000131
672,15.588.112/0001-82,de 81.000 até 360.000,de 10 até 50,61,"562.914,64",15588112000182
673,15.564.941/0001-25,de 81.000 até 360.000,de 10 até 50,0,-,SPARTANO AGROINDUSTRIAL LTDA
674,11.635.696/0001-49,de 81.000 até 360.000,de 10 até 50,82,"1.245.441,75",11635696000149
675,09.676.038/0001-53,de 360.000 até 1.500.000,de 10 até 50,72,"450.511,23",09676038000153
676,27.445.313/0001-00,de 360.000 até 1.500.000,de 0 até 5,0,-,27445313000100
677,76.157.593/0001-66,de 1.500.000 até 4.800.000,de 100 até 500,-,,76157593000166
678,01.374.729/0001-90,de 10.000.000 até 30.000.000,de 100 até 500,0,-,01374729000190
679,11.532.304/0001-16,de 10.000.000 até 30.000.000,de 50 até 100,847,"3.219.799,52",11532304000116
680,00.601.995/0001-46,de 0 até 81.000,de 5 até 10,-,,GRUPO SMEL CONFECÇÕES
681,19.442.650/0001-15,de 10.000.000 até 30.000.000,de 50 até 100,0,-,19442650000115
682,08.570.038/0001-01,de 0 até 81.000,de 0 até 5,-,,RDM IND E COM DE MAQUINAS LTDA
683,09.507.837/0001-04,de 81.000 até 360.000,de 0 até 5,-,,MERCOVOL DIST DE PEÇAS PARA CAMINHÕES LTDA
684,76.956.614/0001-03,de 10.000.000 até 30.000.000,de 50 até 100,22,"4.026.659,94",76956614000103
685,07.785.632/0001-57,de 0 até 81.000,,-,,CAMA IN BOX IND
686,05.696.101/0001-62,de 100.000.000 até 300.000.000,de 100 até 500,105,"6.407.048,81",05696101000162
687,04.791.688/0001-26,de 30.000.000 até 100.000.000,de 50 até 100,84,"128.257,11",FREE WAY COMERCIO DE MOTOCICLETAS LTDA
688,02.611.870/0001-22,de 0 até 81.000,de 10 até 50,71,"24.318.496,16",DIALLI DISTRIBUIDORA
689,82.253.956/0001-60,de 10.000.000 até 30.000.000,de 50 até 100,3,"720,00",82253956000160
690,08.601.546/0001-00,de 1.500.000 até 4.800.000,acima de 500,238,"2.936.418,08",08601546000100
691,88.318.092/0001-01,de 4.800.000 até 10.000.000,de 100 até 500,0,-,Formas Kunz completar
692,04.680.199/0001-05,de 81.000 até 360.000,de 0 até 5,-,,Grafobras completar
693,04.826.813/0001-96,de 4.800.000 até 10.000.000,de 10 até 50,268,"946.995,33",Delta Frio Indústria de Refrigeração Eireli
694,31.790.262/0001-20,de 360.000 até 1.500.000,de 0 até 5,0,-,Tecnopalm Componentes par Calçados Ltda
695,02.983.559/0001-04,de 360.000 até 1.500.000,de 10 até 50,-,,Liver Calçados e Bolsas Ltda completar
696,91.621.458/0001-13,de 81.000 até 360.000,de 10 até 50,-,,Yaco Participações Ltda
697,94.837.598/0001-11,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Faxon Química Ltda
698,16.920.989/0001-91,de 4.800.000 até 10.000.000,de 100 até 500,384,"4.654.512,48",R C Deotti Industria de Calçados Eireli
699,10.443.576/0001-87,de 81.000 até 360.000,de 10 até 50,-,,Fanfa Beneficiamento de Solados e Calçados Ltda  ME
700,91.288.605/0001-85,de 81.000 até 360.000,de 0 até 5,-,,Negócio Calçados nunes ltda
701,00.969.728/0001-26,de 0 até 81.000,de 10 até 50,-,,PEGASUS AUTOPECAS LTDAFILIAL
702,10.274.952/0001-57,de 0 até 81.000,de 100 até 500,-,,Calçados Mylena
703,58.402.405/0001-36,de 0 até 81.000,de 0 até 5,-,,Negócio Tecnocromo cromagem indl LTDA
704,47.443.395/0001-60,de 0 até 81.000,de 0 até 5,-,,Luigi Calcados Ltda
705,18.984.750/0001-00,de 360.000 até 1.500.000,de 10 até 50,196,"411.819,33",Industria e Comercio de Calçados Via Alvo Eireli EPP
706,88.279.195/0001-00,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Calçados Status Ltda
707,00.766.370/0001-34,de 81.000 até 360.000,de 0 até 5,-,,Calçados Belmon Ltda
708,07.049.652/0001-60,de 81.000 até 360.000,de 0 até 5,-,,Bras Shoes Comercio de Calçados Ltda ME
709,94.462.595/0001-40,de 360.000 até 1.500.000,de 10 até 50,-,,Manufaturados de Metais Ouro Branco Ltda
710,73.446.072/0001-30,de 81.000 até 360.000,de 0 até 5,-,,Metalúrgica Mariane Ltda
711,61.646.634/0001-00,de 0 até 81.000,de 0 até 5,-,,Resivale Ind e Com de Resistencias Eletricas Ltda
712,11.547.434/0001-22,de 360.000 até 1.500.000,de 10 até 50,-,,Gold Laser do Brasil Gravacoes Tecnicas Ltda
713,91.669.622/0001-62,de 4.800.000 até 10.000.000,de 100 até 500,58,"7.398.938,74",Máquinas Klein Sa
714,14.194.117/0001-68,de 81.000 até 360.000,de 0 até 5,-,,Master Ind Plastica Ltda
715,02.913.230/0001-77,de 1.500.000 até 4.800.000,de 10 até 50,-,,Modelle Conformações Ltda
716,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,Palterm Ind e Com Ltda
717,91.665.612/0001-59,de 1.500.000 até 4.800.000,de 10 até 50,-,,Plásticos Javel Ltda
718,21.147.383/0001-03,de 360.000 até 1.500.000,de 10 até 50,-,,Negócio RS Tupã Ind de Plásticos Ltda
719,21.147.383/0001-03,de 360.000 até 1.500.000,de 10 até 50,-,,RS Tupã Ind de Plásticos Ltda
720,09.663.445/0001-26,de 81.000 até 360.000,de 10 até 50,0,-,Draro Calçados Ltda Me
721,15.481.886/0001-00,de 0 até 81.000,de 0 até 5,-,,AES Multisolas e Comp p Calçados Ltda
722,23.053.561/0001-54,de 81.000 até 360.000,de 0 até 5,-,,Sapri Desaign Ltda Me
723,01.688.276/0001-77,de 4.800.000 até 10.000.000,de 100 até 500,0,-,Novope Calçados Ltda
724,82.350.455/0001-00,de 0 até 81.000,de 0 até 5,-,,Diplax Ind de Plastico Ltda
725,11.018.164/0001-62,de 81.000 até 360.000,de 0 até 5,-,,Fundição Santa Teresinha Ltda Me
726,92.260.397/0001-79,de 81.000 até 360.000,de 0 até 5,-,,Metalurgica Rio dos Sinos Eireli
727,27.397.546/0001-84,de 0 até 81.000,de 0 até 5,-,,AHB Ind Com e Representações Ltda
728,19.812.701/0001-53,de 81.000 até 360.000,de 0 até 5,-,,Negócio VP Comercio de Calçados Eireli
729,23.423.805/0001-43,de 0 até 81.000,de 0 até 5,-,,Negócio Ilaini Scherer Ev Me
730,10.380.823/0001-43,de 81.000 até 360.000,de 10 até 50,-,,Camila Luciane de Souza Me
731,91.963.553/0001-03,de 0 até 81.000,de 10 até 50,-,,Ramon Grifante Me
732,97.269.989/0001-75,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Dallas Calçados Ltda
733,93.989.200/0001-08,de 1.500.000 até 4.800.000,de 50 até 100,164,"329.737,73",Bernardi Calçados Ltda
734,01.631.904/0001-88,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Calçados Killana Ltda
735,16.777.586/0001-35,de 0 até 81.000,de 10 até 50,-,,Calçados Doida Varrida Calçados Ltda
736,00.841.764/0001-00,de 0 até 81.000,de 0 até 5,-,,Cauduro Ind Com do Vestuario Ltda
737,02.837.402/0001-70,de 0 até 81.000,de 0 até 5,-,,Beplast Ind e Com de Plastico Ltda
738,01.297.028/0001-03,de 1.500.000 até 4.800.000,de 100 até 500,36,"2.318.327,23",Eletromax Soluções Eletricas Ltda
739,72.178.353/0001-97,de 30.000.000 até 100.000.000,de 100 até 500,0,-,Frontec Indústria de Componentes de Fixação Ltda
740,87.076.840/0001-16,de 1.500.000 até 4.800.000,de 10 até 50,33,"598.349,09",Forja São Leopoldo Ltda
741,51.833.655/0001-81,de 81.000 até 360.000,de 0 até 5,-,,Fluxor Ind e Com de Equipamentos Ltda
742,88.154.851/0001-30,de 360.000 até 1.500.000,de 50 até 100,0,-,FKL Maquinas Hidraulicas Ltda
743,53.871.786/0001-89,de 0 até 81.000,de 0 até 5,-,,Da Colonia Alimentos Naturais Ltda
744,78.265.055/0001-10,de 1.500.000 até 4.800.000,de 10 até 50,-,,Oxifeet Ind e Com de Calçados Ltda
745,00.697.959/0001-28,de 0 até 81.000,de 0 até 5,-,,Palmiarte Ind de Componentes para Calçados Ltda
746,10.792.632/0001-99,de 360.000 até 1.500.000,de 10 até 50,650,"2.864.886,04",Metalurgica Vogue
747,19.558.407/0001-67,de 10.000.000 até 30.000.000,de 50 até 100,0,-,Kamatec Metalização Ltda
748,91.528.562/0001-68,de 10.000.000 até 30.000.000,de 100 até 500,0,-,Infasul Facas Industriais Ltda
749,90.345.372/0001-42,de 360.000 até 1.500.000,de 10 até 50,0,-,Ind de Sacos Plastico Aldo Ltda
750,10.714.806/0001-03,de 0 até 81.000,de 0 até 5,-,,C O Q Ind e Com Ltda
751,00.108.617/0001-25,de 81.000 até 360.000,de 0 até 5,-,,Biomax Ind de Maquinas Ltda
752,91.669.333/0001-63,de 10.000.000 até 30.000.000,de 100 até 500,8,"6.439.595,11",Industria Boituva de Bebidas SA
753,93.448.504/0001-50,de 0 até 81.000,de 0 até 5,-,,Silva Canquerini Comercio de Alimentos Ltda
754,14.185.946/0001-84,de 0 até 81.000,de 10 até 50,-,,Ivaldo Froihlich Me
755,00.476.368/0001-20,de 0 até 81.000,de 0 até 5,-,,Ind de Moveis Silva Santos Ltda
756,00.962.757/0001-66,de 4.800.000 até 10.000.000,de 100 até 500,8,"1.213.334,99",AcrildomosArtefatos em AcrilicoLtda
757,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,ASLD Ind e Com Ltda
758,26.066.133/0001-54,de 81.000 até 360.000,de 0 até 5,-,,Carlos Becker Metalurgica Ind Ltda
759,90.304.635/0001-75,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Cepazzi Produtos Ceramicos Ltda
760,00.616.688/0001-39,de 81.000 até 360.000,de 0 até 5,-,,Fercopi Ind de Borrachas e Com Ltda
761,03.526.132/0001-40,de 0 até 81.000,de 0 até 5,-,,Hot Feet Industria de Calcados Ltda ME
762,00.059.682/0001-08,de 81.000 até 360.000,de 0 até 5,-,,Frankenberg Ind e Com de Botoes Eireli
763,61.139.994/0001-16,de 0 até 81.000,de 0 até 5,-,,Gold Sul Ind Plastica Ltda
764,72.099.922/0001-09,de 1.500.000 até 4.800.000,de 50 até 100,0,-,Adubras Com de Confecções Ltda
765,92.690.122/0001-75,de 1.500.000 até 4.800.000,de 100 até 500,55,"1.952.412,47",Alumínio Royal SA
766,71.405.971/0001-60,de 0 até 81.000,de 10 até 50,-,,Antonio Luiz Batista EPP
767,56.996.085/0001-64,de 30.000.000 até 100.000.000,de 100 até 500,0,-,DCJ Ind Metalurgica Ltda
768,00.138.704/0001-25,de 81.000 até 360.000,de 0 até 5,-,,Delta service Confecção de Beneficiamento Ltda
769,96.738.216/0001-28,de 4.800.000 até 10.000.000,de 50 até 100,0,-,Sabão Imperial Ltda
770,04.665.956/0001-63,de 0 até 81.000,de 0 até 5,-,,Refrijet Ind e Com Imp e Exp Ltda
771,00.292.219/0001-01,de 0 até 81.000,de 0 até 5,-,,Printcorsul Ind e Com de Tintas Ltda
772,05.127.823/0001-04,de 81.000 até 360.000,de 0 até 5,-,,Poliuretano do Brasil Ind e Com Ltda
773,06.003.196/0001-54,de 360.000 até 1.500.000,de 0 até 5,-,,Pomp Prod Hospitalares e seg do Trabalho Ltda
774,79.233.839/0001-20,de 81.000 até 360.000,de 0 até 5,-,,ATN Telecon Ind e Com Ltda
775,00.304.643/0001-29,de 0 até 81.000,de 0 até 5,-,,Ind e Com de Massas Milano Ltda
776,14.055.326/0001-20,de 81.000 até 360.000,de 0 até 5,-,,Sebras Ind e Com Ltda
777,01.192.181/0001-68,de 4.800.000 até 10.000.000,de 100 até 500,0,-,Panificio Partenon ltda
778,01.701.040/0001-23,de 360.000 até 1.500.000,de 10 até 50,0,-,Paesi Metalúrgica Ltda
779,04.825.358/0001-04,de 81.000 até 360.000,de 10 até 50,-,,Calçados D Hoff Ltda
780,00.107.621/0001-79,de 1.500.000 até 4.800.000,de 50 até 100,0,-,Negócio Basy Quimica Ltda
781,05.622.026/0001-95,de 0 até 81.000,de 0 até 5,-,,Negócio DCR Ind  Metalúrgica Ltda
782,01.000.391/0001-07,de 1.500.000 até 4.800.000,de 10 até 50,0,-,Rapifix do Brasil Ltda
783,02.837.402/0001-70,de 0 até 81.000,de 0 até 5,-,,Plastitres Ind e Com de Plastico Ltda
